Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
p1k_00678	13432636	7808612	132560	3168882	0	0	0	0	16902	0	0	0	0	1768307	522497	14876	58.13164296270665	13432636.0	10263754.0	76.41	3168882.0	23.59	p1k_00678_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13432636.0	0.0	20-151	51.0	16.08802222301118	137.38768206031935	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	13484592	2532073	13484592	1866500977	13337729	1843324697	1.2416966444481	0.0265	0.4632	0.5104		
p1k_00679	13460741	7796226	30968	3389500	0	0	0	0	21094	0	0	0	0	1713394	496039	13520	57.9182527915811	13460741.0	10071241.0	74.82	3389500.0	25.18	p1k_00679_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13460741.0	0.0	20-151	50.0	18.30359564333802	134.6280646808374	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	2.6	13526864	2444550	13526864	1849679731	1636770	1823537435	1.4133417565140634	0.0274	0.4699	0.5026		
p1k_00680	15769041	9714271	29933	3316955	0	0	0	0	26981	0	0	0	0	2016934	644236	19731	61.6034354910993	15769041.0	12452086.0	78.97	3316955.0	21.03	p1k_00680_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15769041.0	0.0	20-151	50.0	16.563404992484134	134.9163874328185	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass	2.6	15893314	3079302	15893314	2163432262	15547113	2133354992	1.3902570710577673	0.0255	0.4536	0.5208		
p1k_00681	17585855	10949643	96286	3472660	0	0	0	0	31268	0	0	0	0	2376266	638184	21548	62.26392177121897	17585855.0	14113195.0	80.25	3472660.0	19.75	p1k_00681_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17585855.0	0.0	20-151	51.0	16.98089812081735	135.15647291530607	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	17643481	3359586	17643481	2409482780	15400451	2378595155	1.2819193088402152	0.0225	0.4646	0.513		
p1k_00682	15796105	9275094	133416	3524389	0	0	0	0	25825	0	0	0	0	2183757	632320	21304	58.71760158596059	15796105.0	12271716.0	77.69	3524389.0	22.31	p1k_00682_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15796105.0	0.0	20-151	49.0	17.110032721416506	136.22614954762582	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	15848240	3426062	15848240	2185858592	17368788	2154050611	1.4551710305695749	0.0236	0.4396	0.5368		
p1k_00683	15382962	9055269	9707	3486452	0	0	0	0	33148	0	0	0	0	2139823	636825	21738	58.86557478332196	15382962.0	11896510.0	77.34	3486452.0	22.66	p1k_00683_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15382962.0	0.0	20-151	49.0	15.673432508855347	136.5551486768283	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	2.6	15447274	3439613	15447274	2128163676	17997608	2096173999	1.5031586790413765	0.0235	0.445	0.5315		
p1k_00684	16103402	10778115	638388	636658	0	0	0	0	43831	0	0	0	0	3327561	658643	20206	66.93067092282736	16103402.0	15466744.0	96.05	636658.0	3.95	p1k_00684_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16103402.0	0.0	20-151	52.0	16.83579585627428	134.169336019805	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	16408852	3374859	16408852	2247908367	3216876	2171136959	3.415237432585258	0.0226	0.4904	0.487		
p1k_00685	14670835	9813676	395614	578535	0	0	0	0	41028	0	0	0	0	3238682	585593	17707	66.89241614400271	14670835.0	14092300.0	96.06	578535.0	3.94	p1k_00685_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14670835.0	0.0	20-151	52.0	18.129069673110568	135.0899620914556	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	14717941	2729255	14717941	2019709210	3280185	1985585560	1.6895328214104646	0.0223	0.5047	0.473		
p1k_00686	15921741	10736187	600276	676167	0	0	0	0	34035	0	0	0	0	3221377	634201	19498	67.43098634753574	15921741.0	15245574.0	95.75	676167.0	4.25	p1k_00686_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15921741.0	0.0	20-151	52.0	17.453430729048172	135.3779861134533	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	15983907	2732286	15983907	2186758958	1842653	2160747292	1.1895076915011316	0.0213	0.4911	0.4875		
p1k_00687	16348252	11077853	363065	692101	0	0	0	0	18533	0	0	0	0	3595999	581960	18741	67.76169709153002	16348252.0	15656151.0	95.77	692101.0	4.23	p1k_00687_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16348252.0	0.0	20-151	52.0	15.799400602068078	139.04240967168846	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	16406351	2667158	16406351	2302325900	1811305	2278503437	1.0347128962063972	0.0158	0.513	0.4712		
p1k_00688	16627429	11270124	296761	662529	0	0	0	0	61868	0	0	0	0	3769680	547879	18588	67.7803164878948	16627429.0	15964900.0	96.02	662529.0	3.98	p1k_00688_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16627429.0	0.0	20-151	52.0	16.424097975628303	132.8108747299417	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	16714660	2943295	16714660	2247110814	2052074	2215815031	1.392712046287184	0.0205	0.5225	0.457		
p1k_00689	13701130	8976667	453146	591202	0	0	0	0	44302	0	0	0	0	3163652	456962	15199	65.51771277259613	13701130.0	13109928.0	95.69	591202.0	4.31	p1k_00689_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13701130.0	0.0	20-151	52.0	17.72364824019283	134.40659383569093	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	13790168	2930171	13790168	1872291163	7658875	1846331510	1.3865179472622442	0.0187	0.5234	0.4579		
p1k_00690	14503980	10114696	91726	679746	0	0	0	0	28537	0	0	0	0	2990613	577813	20849	69.73738242882298	14503980.0	13824234.0	95.31	679746.0	4.69	p1k_00690_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14503980.0	0.0	20-151	51.0	17.292985731012628	137.59876261550278	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	14547749	2899240	14547749	2017678938	9162999	1993662685	1.1902911086441643	0.0257	0.5041	0.4703		
p1k_00691	14313289	9806246	68048	694506	0	0	0	0	40079	0	0	0	0	3085055	600075	19280	68.5114790877205	14313289.0	13618783.0	95.15	694506.0	4.85	p1k_00691_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14313289.0	0.0	20-151	51.0	17.925673230183385	136.02958488436863	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	14357920	2544496	14357920	1979868908	1878329	1951281591	1.4438994867027832	0.0284	0.5018	0.4697		
p1k_00692	14530169	9217618	215959	2479561	0	0	0	0	20372	0	0	0	0	1971008	607030	18621	63.437789333351866	14530169.0	12050608.0	82.94	2479561.0	17.06	p1k_00692_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14530169.0	0.0	20-151	50.0	17.95350100640554	136.38185915112206	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	14576411	2454200	14576411	2007162231	1770066	1990349638	0.8376300002229365	0.0286	0.4482	0.5233		
p1k_00693	13403823	8569778	130792	2302450	0	0	0	0	26648	0	0	0	0	1801463	556752	15940	63.9353265109514	13403823.0	11101373.0	82.82	2302450.0	17.18	p1k_00693_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13403823.0	0.0	20-151	51.0	17.788282113140372	135.5584065829577	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	13481933	2428090	13481933	1848583336	1665406	1825108002	1.2699094243052291	0.0256	0.4513	0.523		
p1k_00694	15866151	9133742	64915	4062920	0	0	0	0	24587	0	0	0	0	1958187	604522	17278	57.56747178316909	15866151.0	11803231.0	74.39	4062920.0	25.61	p1k_00694_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15866151.0	0.0	20-151	51.0	16.310759986253462	135.44418914202947	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	15921202	2619616	15921202	2175263594	2161684	2155649816	0.90167362034194	0.024	0.467	0.5091		
p1k_00695	17817903	10129783	45447	4667316	0	0	0	0	30605	0	0	0	0	2260119	665474	19159	56.85171257246153	17817903.0	13150587.0	73.81	4667316.0	26.19	p1k_00695_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17817903.0	0.0	20-151	50.0	16.47054267479137	134.6647660501912	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	17892033	3136648	17892033	2444953293	2436975	2414788917	1.2337403780416512	0.0248	0.4725	0.5027		
p1k_00696	17150046	7879118	10108	6537890	0	0	0	0	22531	0	0	0	0	2162480	522605	15314	45.94225578170461	17150046.0	10612156.0	61.88	6537890.0	38.12	p1k_00696_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17150046.0	0.0	20-151	49.0	15.95453626656286	135.27388486304935	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	2.6	17218582	2916609	17218582	2355914151	2238894	2332513526	0.9932715498171818	0.0267	0.4993	0.474		
p1k_00697	16699910	7272722	30332	6871017	0	0	0	0	12840	0	0	0	0	2024383	474513	14103	43.54946823066711	16699910.0	9828893.0	58.86	6871017.0	41.14	p1k_00697_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16699910.0	0.0	20-151	49.0	14.551320187896255	136.73315131638435	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	2.6	16750994	2825845	16750994	2317720991	2100549	2294680080	0.9941192701567934	0.0247	0.5063	0.469		
p1k_00698	15495485	8282771	10598	4554018	0	0	0	0	26163	0	0	0	0	2037109	564341	20485	53.45280254215986	15495485.0	10941467.0	70.61	4554018.0	29.39	p1k_00698_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15495485.0	0.0	20-151	51.0	15.363590124067944	137.62093764732114	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	15547597	2749365	15547597	2164217607	3110878	2139674242	1.1340525518606042	0.0224	0.4676	0.51		
p1k_00699	16481999	8653565	52109	4971366	0	0	0	0	28772	0	0	0	0	2160945	595191	20051	52.50312780628127	16481999.0	11510633.0	69.84	4971366.0	30.16	p1k_00699_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16481999.0	0.0	20-151	50.0	16.85261791105372	136.71907285032597	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	16561950	2821402	16561950	2291026211	2494056	2270745047	0.885243647699149	0.023	0.4662	0.5109		
p1k_00700	16084468	10120762	56918	2924735	0	0	0	0	28237	0	0	0	0	2204263	729445	20108	62.92257847757228	16084468.0	13159733.0	81.82	2924735.0	18.18	p1k_00700_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16084468.0	0.0	20-151	52.0	17.907713512207973	135.79856822121815	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	16258939	2904845	16258939	2245064700	2792834	2199233827	2.041405443682759	0.0275	0.4452	0.5273		
p1k_00701	15144343	9474692	111799	2780885	0	0	0	0	28472	0	0	0	0	2058429	671926	18140	62.56258194891651	15144343.0	12363458.0	81.64	2780885.0	18.36	p1k_00701_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15144343.0	0.0	20-151	52.0	16.59569234609643	134.84866256660985	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	15206492	2951946	15206492	2068859383	14864940	2040433085	1.374008220838081	0.0291	0.4404	0.5306		
p1k_00702	16539126	10985935	27069	2295518	0	0	0	0	32582	0	0	0	0	2448039	726006	23977	66.42391502428848	16539126.0	14243608.0	86.12	2295518.0	13.88	p1k_00702_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16539126.0	0.0	20-151	51.0	17.366853184638334	136.20476299654527	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	16588806	3144761	16588806	2280302663	13513322	2254433845	1.1344466863870868	0.023	0.452	0.5249		
p1k_00703	11125611	7021525	15678	1700092	0	0	0	0	21267	0	0	0	0	1885386	465888	15775	63.11136529939794	11125611.0	9425519.0	84.72	1700092.0	15.28	p1k_00703_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11125611.0	0.0	20-151	51.0	20.17971430549432	135.49161686490746	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	11159740	2166031	11159740	1526637054	9367415	1508468869	1.1900788699184817	0.0624	0.4394	0.4982		
p1k_00704	14078829	9395356	17272	1978481	0	0	0	0	29199	0	0	0	0	2041901	597298	19322	66.73393078359003	14078829.0	12100348.0	85.95	1978481.0	14.05	p1k_00704_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14078829.0	0.0	20-151	51.0	19.149922437981964	135.60517852727668	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	14150736	2406004	14150736	1942753420	1967589	1923225597	1.0051621991225217	0.0227	0.4755	0.5019		
p1k_00705	15332947	10277938	36039	2110588	0	0	0	0	21515	0	0	0	0	2254230	611741	20896	67.03171934266778	15332947.0	13222359.0	86.23	2110588.0	13.77	p1k_00705_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15332947.0	0.0	20-151	51.0	17.119921603253974	136.83515941195128	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	15394282	2602641	15394282	2128331729	2022724	2106398912	1.0305168457130116	0.0205	0.4789	0.5006		
p1k_00706	13660446	8124997	17535	2928287	0	0	0	0	28055	0	0	0	0	2004807	539659	17106	59.478270328801855	13660446.0	10732159.0	78.56	2928287.0	21.44	p1k_00706_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13660446.0	0.0	20-151	51.0	18.98574737797597	136.3839560582429	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	13705563	2383569	13705563	1896296390	2252893	1873427696	1.2059662255645596	0.0231	0.4811	0.4958		
p1k_00707	14107755	8331375	13128	3181038	0	0	0	0	29553	0	0	0	0	1969865	563488	19308	59.05528555039409	14107755.0	10926717.0	77.45	3181038.0	22.55	p1k_00707_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14107755.0	0.0	20-151	51.0	15.661314383911302	138.36414532290928	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	14161029	2399745	14161029	1982768579	2249634	1957432010	1.2778379316853197	0.0218	0.4808	0.4973		
p1k_00708	15525457	11133452	293775	451175	0	0	0	0	36221	0	0	0	0	3018684	573613	18537	71.71094544914202	15525457.0	15074282.0	97.09	451175.0	2.91	p1k_00708_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15525457.0	0.0	20-151	52.0	18.59604998106281	136.46429506068645	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	15591229	2604250	15591229	2146555941	1786260	2122658856	1.1132756684117555	0.0241	0.4917	0.4843		
p1k_00709	15980634	11922609	141885	452683	0	0	0	0	37658	0	0	0	0	2735105	670251	20443	74.60660822342842	15980634.0	15527951.0	97.17	452683.0	2.83	p1k_00709_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15980634.0	0.0	20-151	52.0	18.44780251445446	136.96986665234934	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	16099726	2818482	16099726	2230257158	1868221	2194735501	1.5927157490598225	0.0234	0.478	0.4986		
p1k_00710	8836714	6186845	556432	325755	0	0	0	0	56180	0	0	0	0	1326814	299295	85393	70.01295956845497	8836714.0	8510959.0	96.31	325755.0	3.69	p1k_00710_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8836714.0	0.0	20-76	52.0	22.199839382807795	74.67259752890045	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8972134	1242378	8972134	673127815	2649497	661175685	1.775610773118921	0.091	0.3883	0.5207		
p1k_00711	7755905	6258337	29362	65151	0	0	0	0	0	0	0	0	0	1171910	227058	4087	80.69125395424518	7755905.0	7690754.0	99.16	65151.0	0.84	p1k_00711_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7755905.0	0.0	20-50	52.0	24.66994194653304	49.50858333102327	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	7761062	2330346	7761062	388053100	953713	384004618	1.04328041703571			0.5263	0.0301	0.4436
p1k_00712	6941752	5643306	1663	26372	0	0	0	0	0	0	0	0	0	1052382	214266	3763	81.29512549569618	6941752.0	6915380.0	99.62	26372.0	0.38	p1k_00712_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6941752.0	0.0	20-50	52.0	23.37059150188457	49.51762797057573	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	6945954	2071361	6945954	347297700	795602	343755758	1.019857603433596			0.5276	0.026	0.4465
p1k_00713	5352874	4410798	2770	20528	0	0	0	0	0	0	0	0	0	750789	165065	2924	82.40055715864038	5352874.0	5332346.0	99.62	20528.0	0.38	p1k_00713_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5352874.0	0.0	20-50	52.0	26.11065189405214	49.51519520168044	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	5356195	1600258	5356195	267809750	620862	265062540	1.0258065660417517			0.5305	0.0263	0.4432
p1k_00714	7322226	5956556	5069	28915	0	0	0	0	0	0	0	0	0	1093695	233848	4143	81.34897775621785	7322226.0	7293311.0	99.61	28915.0	0.39	p1k_00714_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7322226.0	0.0	20-50	52.0	23.087632728599637	49.5159192027124	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	7326692	2185265	7326692	366334600	856471	362585139	1.0235071980642834			0.5283	0.0263	0.4454
p1k_00715	6619552	5418691	3509	26235	0	0	0	0	0	0	0	0	0	947791	219407	3919	81.85887806304717	6619552.0	6593317.0	99.6	26235.0	0.4	p1k_00715_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6619552.0	0.0	20-50	52.0	23.01142963366441	49.51756961800436	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	6623440	1989959	6623440	331172000	739902	327799740	1.0182805309627625			0.5283	0.0263	0.4455
p1k_00716	9615447	6780292	1818	89935	0	0	0	0	0	0	0	0	0	2511460	227126	4816	70.5145793014095	9615447.0	9525512.0	99.06	89935.0	0.94	p1k_00716_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9615447.0	0.0	20-50	52.0	22.208454085960582	49.51199855815335	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	9621441	2880480	9621441	481072050	1216667	476104645	1.0325698614168086			0.4645	0.0293	0.5063
p1k_00717	9414616	6034662	534887	462926	0	0	0	0	54806	0	0	0	0	1988731	233873	104731	64.0988649988486	9414616.0	8951690.0	95.08	462926.0	4.92	p1k_00717_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9414616.0	0.0	21-76	52.0	23.6304816146706	74.8177597471846	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	2.6	9513287	929922	9513287	714983536	328512	708002821	0.9763462581325788	0.0692	0.4395	0.4913		
p1k_00718	8201807	3555595	3520600	435361	0	0	0	0	74426	0	0	0	0	397920	169594	48311	43.351361474367785	8201807.0	7766446.0	94.69	435361.0	5.31	p1k_00718_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8201807.0	0.0	20-76	53.0	20.470881233580798	74.34862317535635	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8374952	981839	8374952	625782423	535044	613299128	1.9948299187048275	0.2966	0.2575	0.4459		
p1k_00719	8327226	6904354	2646	74575	0	0	0	0	0	0	0	0	0	1088936	251798	4917	82.91301328917937	8327226.0	8252651.0	99.1	74575.0	0.9	p1k_00719_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8327226.0	0.0	20-50	52.0	25.207366589754063	49.50800530692934	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8332501	2489547	8332501	416625050	1036057	412285326	1.0416377987833425			0.5304	0.0279	0.4417
p1k_00721	7268674	5901229	2381	69934	0	0	0	0	0	0	0	0	0	1078612	211194	5324	81.1871463763542	7268674.0	7198740.0	99.04	69934.0	0.96	p1k_00721_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7268674.0	0.0	20-50	52.0	26.805183862141	49.51105634947997	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	7273425	2174986	7273425	363671250	898858	359899267	1.037195819026112			0.5187	0.0283	0.453
p1k_00722	8709752	6321819	404979	239851	0	0	0	0	84685	0	0	0	0	1269524	317430	71464	72.58322625029966	8709752.0	8469901.0	97.25	239851.0	2.75	p1k_00722_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8709752.0	0.0	20-76	52.0	22.09469870517705	74.41644124884382	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8814457	853343	8814457	658947065	336645	650971367	1.2103700621232756	0.0863	0.4064	0.5073		
p1k_00723	7611659	6060820	3116	61167	0	0	0	0	0	0	0	0	0	1258744	223655	4157	79.62547980670179	7611659.0	7550492.0	99.2	61167.0	0.8	p1k_00723_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7611659.0	0.0	20-50	52.0	25.04455570236216	49.510947087881895	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	7616723	2264859	7616723	380836150	959767	376880744	1.038610961695732			0.5141	0.0298	0.4561
p1k_00724	8572388	5371893	733571	406492	0	0	0	0	81891	0	0	0	0	1631206	259676	87659	62.66507068975413	8572388.0	8165896.0	95.26	406492.0	4.74	p1k_00724_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8572388.0	0.0	20-76	52.0	23.662087996087287	74.43733414773106	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8827769	994112	8827769	661162887	505074	642803792	2.7767884981118125	0.1447	0.3587	0.4966		
p1k_00725	7792552	6266534	1571	62624	0	0	0	0	0	0	0	0	0	1219705	237882	4236	80.41696738116089	7792552.0	7729928.0	99.2	62624.0	0.8	p1k_00725_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7792552.0	0.0	20-50	52.0	23.204813907620352	49.51281107909193	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	7797390	2313420	7797390	389869500	958181	385851296	1.0306535904963072			0.5261	0.0272	0.4466
p1k_00726	8155270	6767858	3577	70859	0	0	0	0	0	0	0	0	0	1042573	265892	4511	82.98754057192465	8155270.0	8084411.0	99.13	70859.0	0.87	p1k_00726_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8155270.0	0.0	20-50	52.0	22.68567494748393	49.5111222559155	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8160314	2439903	8160314	408015700	985426	403797726	1.0337773767038867			0.5313	0.0261	0.4426
p1k_00727	8234092	6730666	43307	198061	0	0	0	0	97843	0	0	0	0	743932	296706	123577	81.74144763016979	8234092.0	8036031.0	97.59	198061.0	2.41	p1k_00727_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8234092.0	0.0	20-76	52.0	25.35838212290001	74.31079055225518	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8636396	1489783	8636396	645732544	3353696	614735875	4.800233361012078	0.0228	0.4491	0.5281		
p1k_00728	8437689	6904245	2090	63828	0	0	0	0	0	0	0	0	0	1196678	266213	4635	81.82625598075492	8437689.0	8373861.0	99.24	63828.0	0.76	p1k_00728_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8437689.0	0.0	20-50	52.0	23.289213448488244	49.511343331094565	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8443168	2517414	8443168	422158400	1040867	417783904	1.03622147516193			0.5192	0.0259	0.4549
p1k_00729	14764032	10166469	729351	590788	0	0	0	0	187235	0	0	0	0	2460609	539730	89850	68.85970580394299	14764032.0	14173244.0	96.0	590788.0	4.0	p1k_00729_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14764032.0	0.0	20-76	52.0	25.14347346260021	73.81191818061625	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	15702319	2230961	15702319	1167567312	1609615	1099479555	5.831591575081712	0.0271	0.4523	0.5206		
p1k_00730	8077185	6695186	11081	65451	0	0	0	0	0	0	0	0	0	1037735	263139	4593	82.89009104038102	8077185.0	8011734.0	99.19	65451.0	0.81	p1k_00730_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8077185.0	0.0	20-50	52.0	22.80296927042426	49.50824328030125	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8082069	2440281	8082069	404103450	971486	399907107	1.0384328567350762			0.5229	0.027	0.4502
p1k_00731	8548049	5130823	865691	284458	0	0	0	0	68451	0	0	0	0	1886211	261247	51168	60.02332228090877	8548049.0	8263591.0	96.67	284458.0	3.33	p1k_00731_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8548049.0	0.0	20-76	52.0	22.204228182130542	74.4450636630651	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	2.6	8671283	1169348	8671283	648718979	2632566	637778020	1.6865483135494943	0.1551	0.3426	0.5023		
p1k_00732	8365975	7007433	3899	65674	0	0	0	0	0	0	0	0	0	1018304	265907	4758	83.76110375658546	8365975.0	8300301.0	99.21	65674.0	0.79	p1k_00732_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8365975.0	0.0	20-50	52.0	23.14866683029089	49.5089159362776	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	8371310	2513239	8371310	418565500	1024026	414211861	1.040133264686172			0.5374	0.0255	0.4371
p1k_00733	9095190	6547871	385857	306465	0	0	0	0	80030	0	0	0	0	1349384	321367	104216	71.99267964715416	9095190.0	8788725.0	96.63	306465.0	3.37	p1k_00733_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9095190.0	0.0	20-76	52.0	24.855201141964724	74.46576816976885	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	9214719	1277954	9214719	690446548	2263055	679680302	1.5593163628938878	0.0751	0.4151	0.5098		
